구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,SONY,Sony,Oita,-,IDM,Japan,Japan,Japan,-,Logic,Logic,Logic,PW,Prime,Polished,일본법인,비메모리,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8,Foundry,USA,USA,USA,14nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,유럽지사,비메모리,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8,Foundry,USA,USA,USA,14nm,Logic,Logic,Logic,PW,SOI,SOI,유럽지사,비메모리,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8_New,Foundry,USA,USA,USA,14/28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,유럽지사,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,10,10,10,10
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8_New,Foundry,USA,USA,USA,14/28nm,Logic,Logic,Logic,PW,SOI,SOI,유럽지사,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,Kioxia,Kioxia,Yokkaichi,Y3~Y6,IDM,Japan,Japan,Japan,15nm / 2D,NAND,NAND,Memory,PW,Prime,Polished,일본법인,메모리,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
거래고객,Kioxia,Kioxia,Yokkaichi,Y3~Y6,IDM,Japan,Japan,Japan,3D,NAND,NAND,Memory,PW,Prime,Polished,일본법인,메모리,400,400,400,400,405,405,405,405,285,245,245,245,225,225,215,205,230,255,280,280,260,260,260,240,250,250,250,250
거래고객,Kioxia,Kioxia,Iwate (Kitakami시),K1,IDM,Japan,Japan,Japan,3D,NAND,NAND,Memory,PW,Prime,Polished,일본법인,메모리,120,120,120,120,120,120,120,120,120,120,120,120,110,110,110,110,100,100,100,100,90,90,90,90,80,80,80,80
거래고객,Kioxia,Kioxia,Yokkaichi,Y7,IDM,Japan,Japan,Japan,3D,NAND,NAND,Memory,PW,Prime,Polished,일본법인,메모리,0,0,0,0,0,0,10,10,20,60,60,60,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
거래고객,Kioxia,Kioxia,Iwate (Kitakami시),K2,IDM,Japan,Japan,Japan,3D,NAND,NAND,Memory,PW,Prime,Polished,일본법인,메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,50,50,70,80,80,80,100,100,100,100,100
거래고객,INTEL,Intel,Dalian,Fab 68,IDM,China,China,USA,3D,NAND,NAND,Memory,PW,Prime,Polished,미국법인,메모리,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,INTEL,Intel,Oregon,D1D,IDM,USA,USA,USA,10nm,MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,82,82,86,86,75,75,55,45,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,INTEL,Intel,Oregon,D1X,IDM,USA,USA,USA,2nm,MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,10,10,20,20,23,23,23,23,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,INTEL,Intel,New Mexico,Fab 11X,IDM,USA,USA,USA,22/32/45nm,MPU,MPU/3DXP,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,39,39,39,39,39,39,39,39
거래고객,INTEL,Intel,New Mexico,New,IDM,USA,USA,USA,WLA(Wafer Level Assembly),Packaging,WLA,Packaging,PW,Pre,Premium,미국법인,비메모리,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,38,38,52,52,65,65,78,78,104,104,158,158
거래고객,INTEL,Intel,Malaysia,Penang,IDM,USA,USA,USA,WLA(Wafer Level Assembly),Packaging,WLA,Packaging,PW,Pre,Premium,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,20,20,20,20,40,40,40,40
